id,ingredient_id,alias_name,alias_type,source
1,1,Vitamin B3,common_name,manual_seed
2,1,Nicotinamide,common_name,manual_seed
3,1,NIACINAMIDE,openbeautyfacts_name,openbeautyfacts
4,2,Glycerol,common_name,manual_seed
5,2,GLYCERIN,openbeautyfacts_name,openbeautyfacts
6,3,Hyaluronan,common_name,manual_seed
7,3,HYALURONIC ACID,openbeautyfacts_name,openbeautyfacts
8,4,Sodium Salt of Hyaluronic Acid,common_name,manual_seed
9,4,SODIUM HYALURONATE,openbeautyfacts_name,openbeautyfacts
10,5,Beta Glucan,common_name,manual_seed
11,6,Aloe Vera Leaf Juice,common_name,manual_seed
12,6,fr:aloe-barbadensis-leaf-juice,openbeautyfacts_name,openbeautyfacts
13,7,Carbamide,common_name,manual_seed
14,7,UREA,openbeautyfacts_name,openbeautyfacts
15,8,Pidolic Acid Sodium Salt,common_name,manual_seed
16,8,Sodium-pca,openbeautyfacts_name,openbeautyfacts
17,9,Ceramide 3,common_name,manual_seed
18,9,CERAMIDE NP,openbeautyfacts_name,openbeautyfacts
19,10,Ceramide 6 II,common_name,manual_seed
20,10,CERAMIDE AP,openbeautyfacts_name,openbeautyfacts
21,11,Ceramide 1,common_name,manual_seed
22,11,CERAMIDE EOP,openbeautyfacts_name,openbeautyfacts
23,12,CHOLESTEROL,openbeautyfacts_name,openbeautyfacts
24,13,Omega-6 Fatty Acid,common_name,manual_seed
25,14,Provitamin B5,common_name,manual_seed
26,14,PANTHENOL,openbeautyfacts_name,openbeautyfacts
27,15,SQUALANE,openbeautyfacts_name,openbeautyfacts
28,16,ALLANTOIN,openbeautyfacts_name,openbeautyfacts
29,17,Cica,common_name,manual_seed
30,19,Alpha-Bisabolol,common_name,manual_seed
31,19,BISABOLOL,openbeautyfacts_name,openbeautyfacts
32,20,Green Tea Extract,common_name,manual_seed
33,20,Camellia sinensis leaf extract,openbeautyfacts_name,openbeautyfacts
34,21,Oat Extract,common_name,manual_seed
35,22,Zinc Salt of PCA,common_name,manual_seed
36,23,China Clay,common_name,manual_seed
37,23,KAOLIN,openbeautyfacts_name,openbeautyfacts
38,24,Activated Charcoal,common_name,manual_seed
39,24,Charcoal-powder,openbeautyfacts_name,openbeautyfacts
40,25,BHA,common_name,manual_seed
41,25,SALICYLIC ACID,openbeautyfacts_name,openbeautyfacts
42,28,AHA,common_name,manual_seed
43,28,LACTIC ACID,openbeautyfacts_name,openbeautyfacts
44,29,AHA,common_name,manual_seed
45,30,AHA,common_name,manual_seed
46,31,PHA,common_name,manual_seed
47,32,PHA,common_name,manual_seed
48,33,Vitamin C Derivative,common_name,manual_seed
49,34,Vitamin C Derivative,common_name,manual_seed
50,34,SODIUM ASCORBYL PHOSPHATE,openbeautyfacts_name,openbeautyfacts
51,35,Vitamin C Derivative,common_name,manual_seed
52,36,Alpha Arbutin,common_name,manual_seed
53,37,Licorice Root Extract,common_name,manual_seed
54,39,Vitamin E,common_name,manual_seed
55,39,TOCOPHEROL,openbeautyfacts_name,openbeautyfacts
56,40,Vitamin A Palmitate,common_name,manual_seed
